
Año;Zona;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2016;08. Fuencarral-El Pardo;288;28;37;14;31;22;23;19;25;26;24;24;15
2016;09. Moncloa-Aravaca;336;23;12;38;30;34;29;19;27;52;23;26;23
2016;10. Latina;441;52;31;21;48;29;67;39;25;35;36;28;30
2016;11. Carabanchel;1.247;119;106;96;83;103;105;100;96;75;93;121;150
2016;12. Usera;857;52;55;53;92;82;94;81;56;72;75;86;59
2016;13. Puente de Vallecas;820;54;60;61;60;70;61;91;76;65;60;75;87
2016;14. Moratalaz;141;13;11;20;15;14;13;4;17;6;6;12;10
2016;15. Ciudad Lineal;500;37;41;50;28;49;46;50;44;26;40;37;52
2016;16. Hortaleza;242;28;31;16;34;22;28;9;10;13;24;11;16
2016;17. Villaverde;503;61;29;59;39;56;42;48;32;31;30;42;34
2016;18. Villa de Vallecas;405;37;35;34;43;32;41;22;41;35;34;26;25
2016;19. Vicálvaro;227;21;20;21;23;25;24;15;16;22;20;14;6
2016;20. San Blas-Canillejas;271;24;36;23;18;20;19;14;19;16;32;30;20
2016;21. Barajas;209;9;5;26;27;18;22;15;11;19;13;26;18
2016;Otras zonas;3;0;0;0;0;0;0;0;0;2;1;0;0
2017;Ciudad de Madrid;14.169;1.214;1.044;1.293;1.379;1.289;1.386;1.219;842;1.020;1.169;1.132;1.182
2017;01. Centro;3.542;420;195;340;378;333;356;344;195;173;265;255;288
2017;02. Arganzuela;570;70;59;48;44;55;45;73;38;31;35;46;26
2017;03. Retiro;293;22;23;35;11;29;21;26;30;25;25;27;19
2017;04. Salamanca;956;77;79;91;71;85;88;69;50;75;73;91;107
2017;05. Chamartín;647;49;77;47;56;69;49;57;21;53;54;53;62
2017;06. Tetuán;514;42;34;54;58;30;53;39;24;38;44;47;51
2017;07. Chamberí;580;32;70;46;68;35;57;44;37;36;53;46;56
2017;08. Fuencarral-El Pardo;289;15;21;19;30;46;24;27;13;21;30;15;28
2017;09. Moncloa-Aravaca;380;33;38;18;33;22;43;41;26;31;46;29;20
2017;10. Latina;576;51;45;46;59;83;62;55;30;47;22;43;33
2017;11. Carabanchel;1.170;109;100;113;134;102;103;75;66;88;93;86;101
2017;12. Usera;894;61;53;100;84;61;93;79;48;77;95;57;86
2017;13. Puente de Vallecas;1.015;59;80;104;94;89;100;72;70;93;88;82;84
2017;14. Moratalaz;187;15;11;19;16;14;18;10;22;10;20;15;17
2017;15. Ciudad Lineal;571;30;41;53;56;45;51;36;51;41;64;55;48
